"","x","y","t","AnimalID"
"1",350000,4e+05,2021-02-01 00:00:00,"1"
"2",349752.544311699,399686.341742899,2021-02-02 02:00:00,"1"
"3",349974.611670304,399808.775677622,2021-02-02 15:00:00,"1"
"4",350385.386511379,399538.675811861,2021-02-03 04:00:00,"1"
"5",350020.395224055,399685.721475452,2021-02-03 17:00:00,"1"
"6",349968.222317951,399199.230414494,2021-02-04 19:00:00,"1"
"7",350632.27913951,399398.325166132,2021-02-05 08:00:00,"1"
"8",350630.460472766,399099.327051438,2021-02-05 21:00:00,"1"
"9",350817.788007779,399164.41077857,2021-02-06 10:00:00,"1"
"10",351119.248040641,399001.084750098,2021-02-06 23:00:00,"1"
"11",351690.499338761,399291.313801977,2021-02-07 12:00:00,"1"
"12",351384.435613221,399153.72837824,2021-02-08 01:00:00,"1"
"13",351293.260196889,398752.447059342,2021-02-08 14:00:00,"1"
"14",351401.142030533,398514.849905347,2021-02-09 03:00:00,"1"
"15",351590.494918776,398507.419259365,2021-02-09 16:00:00,"1"
"16",351701.166773633,398817.607299369,2021-02-10 05:00:00,"1"
"17",352073.699419998,398646.308339053,2021-02-10 18:00:00,"1"
"18",351890.425313577,398425.33289128,2021-02-11 07:00:00,"1"
"19",351707.462681351,398124.25919456,2021-02-11 20:00:00,"1"
"20",351920.022949983,397920.321866153,2021-02-12 09:00:00,"1"
"21",351550.899749569,397825.111926414,2021-02-12 22:00:00,"1"
"22",351402.185715647,397845.841846688,2021-02-13 11:00:00,"1"
"23",351783.664894896,397664.779958092,2021-02-14 00:00:00,"1"
"24",351886.590009286,398086.493536528,2021-02-14 13:00:00,"1"
"25",352020.722756937,398136.02104087,2021-02-15 02:00:00,"1"
"26",352546.30355569,398612.477156673,2021-02-15 15:00:00,"1"
"27",352114.365061647,398279.558528663,2021-02-16 04:00:00,"1"
"28",351835.053430278,397926.614374162,2021-02-16 17:00:00,"1"
"29",351814.897028428,397756.069832079,2021-02-17 06:00:00,"1"
"30",351501.807032017,397286.559915166,2021-02-17 19:00:00,"1"
"31",351569.465969974,397039.85624663,2021-02-18 08:00:00,"1"
"32",351677.07594782,397357.837854845,2021-02-18 21:00:00,"1"
"33",351646.460739091,397611.049830228,2021-02-19 10:00:00,"1"
"34",351727.236235503,397376.585696071,2021-02-19 23:00:00,"1"
"35",351559.867026393,397282.267350261,2021-02-20 12:00:00,"1"
"36",351156.085459526,397807.072560032,2021-02-21 01:00:00,"1"
"37",351655.179740572,398174.651920025,2021-02-21 14:00:00,"1"
"38",351867.972394235,397590.929706993,2021-02-22 03:00:00,"1"
"39",352046.590200596,397660.670751407,2021-02-22 16:00:00,"1"
"40",352326.416146592,397867.803399346,2021-02-23 05:00:00,"1"
"41",351956.686319806,397582.74977958,2021-02-23 18:00:00,"1"
"42",351572.557951365,397989.714538942,2021-02-24 07:00:00,"1"
"43",352107.530011805,397752.686977596,2021-02-24 20:00:00,"1"
"44",352418.463847397,398188.640172793,2021-02-25 22:00:00,"1"
"45",352207.190076234,397989.367295993,2021-02-26 11:00:00,"1"
"46",351895.46080245,397899.336626416,2021-02-27 00:00:00,"1"
"47",352095.286839811,397703.469347616,2021-02-27 13:00:00,"1"
"48",352249.004943403,397420.976382829,2021-02-28 02:00:00,"1"
"49",352030.113960801,397532.090799271,2021-02-28 15:00:00,"1"
"50",351996.095742143,397811.27533348,2021-03-01 04:00:00,"1"
"51",352080.819188307,397867.373396129,2021-03-01 17:00:00,"1"
"52",351820.509365795,398204.623952078,2021-03-02 06:00:00,"1"
"53",351563.223019477,398776.519454297,2021-03-02 19:00:00,"1"
"54",351652.29075558,398673.261622201,2021-03-03 08:00:00,"1"
"55",351588.500304284,398661.402730758,2021-03-03 21:00:00,"1"
"56",351552.84284738,398435.447532137,2021-03-04 10:00:00,"1"
"57",351363.88444753,398446.919743256,2021-03-04 23:00:00,"1"
"58",351618.901183246,398732.423844629,2021-03-05 12:00:00,"1"
"59",351639.812132367,398737.281172962,2021-03-06 14:00:00,"1"
"60",352019.860465295,398865.336431797,2021-03-07 03:00:00,"1"
"61",352012.528823222,399109.148643554,2021-03-07 16:00:00,"1"
"62",352248.677913967,399110.912550031,2021-03-08 18:00:00,"1"
"63",352520.435743035,399185.842667853,2021-03-09 07:00:00,"1"
"64",352778.319123424,399256.903368287,2021-03-09 20:00:00,"1"
"65",352705.737376345,399582.568931327,2021-03-10 09:00:00,"1"
"66",352415.788100598,400154.404195133,2021-03-10 22:00:00,"1"
"67",352573.446563738,399813.354641055,2021-03-11 11:00:00,"1"
"68",353080.982940195,399946.918773669,2021-03-12 00:00:00,"1"
"69",353512.970713967,400079.112237143,2021-03-12 13:00:00,"1"
"70",353636.977717745,400513.105345832,2021-03-13 02:00:00,"1"
"71",353676.560793938,400677.154262787,2021-03-14 05:00:00,"1"
"72",353095.919538623,400537.503248746,2021-03-14 18:00:00,"1"
"73",352546.059950258,399954.870458663,2021-03-15 07:00:00,"1"
"74",352388.627253832,399726.364445639,2021-03-15 20:00:00,"1"
"75",352748.862189115,400188.287565124,2021-03-16 09:00:00,"1"
"76",352720.857250203,400486.271888105,2021-03-16 22:00:00,"1"
"77",352656.116687093,400861.929258764,2021-03-18 00:00:00,"1"
"78",352783.930168721,400887.138641871,2021-03-18 13:00:00,"1"
"79",352746.663721415,401076.629927568,2021-03-19 02:00:00,"1"
"80",352902.192146535,400948.684292909,2021-03-19 15:00:00,"1"
"81",353052.480602131,401238.219713167,2021-03-20 04:00:00,"1"
"82",353485.19491706,401189.92836375,2021-03-20 17:00:00,"1"
"83",352973.622162918,401179.573638701,2021-03-21 19:00:00,"1"
"84",353268.6837692,401086.099269878,2021-03-22 08:00:00,"1"
"85",353419.085441632,401538.456237956,2021-03-22 21:00:00,"1"
"86",353364.610515773,401255.97780205,2021-03-23 10:00:00,"1"
"87",353430.32710504,401550.814983706,2021-03-23 23:00:00,"1"
"88",353615.140799409,401395.691053169,2021-03-24 12:00:00,"1"
"89",353895.19264581,401291.497315011,2021-03-25 01:00:00,"1"
"90",354384.830170291,400767.880764985,2021-03-25 14:00:00,"1"
"91",354262.715185643,400968.32166995,2021-03-26 03:00:00,"1"
"92",353422.866197334,401335.920212153,2021-03-26 16:00:00,"1"
"93",353099.615123094,401532.598251887,2021-03-27 05:00:00,"1"
"94",353163.013726054,401469.005561445,2021-03-27 18:00:00,"1"
"95",353436.930794,401713.100033217,2021-03-28 07:00:00,"1"
"96",353899.769598944,401965.489195411,2021-03-29 09:00:00,"1"
"97",353645.853970142,401826.406915691,2021-03-29 22:00:00,"1"
"98",353515.837368928,401587.674346472,2021-03-30 11:00:00,"1"
"99",353034.010096756,401170.655913652,2021-03-31 00:00:00,"1"
"100",353153.944722644,401234.267633288,2021-03-31 13:00:00,"1"
"101",353424.875710275,401268.658728981,2021-04-01 02:00:00,"1"
"102",352922.905944079,401273.232852708,2021-04-01 15:00:00,"1"
"103",352379.285485749,401244.959002731,2021-04-02 17:00:00,"1"
"104",352631.059118769,401007.228820935,2021-04-03 06:00:00,"1"
"105",352596.787782819,401401.605789085,2021-04-03 19:00:00,"1"
"106",352699.730563474,401287.141397665,2021-04-04 08:00:00,"1"
"107",352827.921737757,400858.245300867,2021-04-04 21:00:00,"1"
"108",353044.886775888,401123.195046334,2021-04-05 10:00:00,"1"
"109",353300.701898413,401220.022663558,2021-04-06 12:00:00,"1"
"110",352661.878097146,401221.533688512,2021-04-07 01:00:00,"1"
"111",352295.798662991,401033.240467129,2021-04-07 14:00:00,"1"
"112",352117.763182453,401359.553730929,2021-04-08 03:00:00,"1"
"113",352039.185378868,401181.99761143,2021-04-08 16:00:00,"1"
"114",352004.352321091,401248.502967166,2021-04-09 05:00:00,"1"
"115",351999.682633896,401275.367280494,2021-04-09 18:00:00,"1"
"116",351721.7970827,401659.787451256,2021-04-10 07:00:00,"1"
"117",351663.166562978,401789.98149917,2021-04-10 20:00:00,"1"
"118",351727.78124146,402396.286492815,2021-04-11 09:00:00,"1"
"119",351428.738485842,402630.049062273,2021-04-11 22:00:00,"1"
"120",351328.472943246,402986.444117545,2021-04-12 11:00:00,"1"
"121",351388.175999327,403094.267548671,2021-04-13 00:00:00,"1"
"122",352000.621986625,403086.483780319,2021-04-13 13:00:00,"1"
"123",351587.074536747,402580.927603971,2021-04-14 02:00:00,"1"
"124",350925.214980649,402345.556789248,2021-04-14 15:00:00,"1"
"125",350971.332583809,402559.122068236,2021-04-15 04:00:00,"1"
"126",351281.29614104,402771.700072521,2021-04-15 17:00:00,"1"
"127",351675.076379839,402535.675602426,2021-04-16 06:00:00,"1"
"128",351663.770495841,402364.576842026,2021-04-16 19:00:00,"1"
"129",351627.528893381,402733.440669637,2021-04-17 08:00:00,"1"
"130",351609.973642634,402462.425409634,2021-04-17 21:00:00,"1"
"131",351026.786020637,402796.819242561,2021-04-18 10:00:00,"1"
"132",351389.580091088,402706.587633754,2021-04-19 12:00:00,"1"
"133",350808.135815534,402571.640871721,2021-04-20 01:00:00,"1"
"134",350761.209395554,402374.393267603,2021-04-20 14:00:00,"1"
"135",351067.684694904,402210.311495822,2021-04-21 03:00:00,"1"
"136",351596.31206077,402079.525208101,2021-04-21 16:00:00,"1"
"137",350979.00751475,402043.667897591,2021-04-22 05:00:00,"1"
"138",351459.166957885,401652.209970486,2021-04-22 18:00:00,"1"
"139",351042.393726952,401783.885615503,2021-04-23 07:00:00,"1"
"140",351013.387639507,401530.883697746,2021-04-23 20:00:00,"1"
"141",351200.875041069,401942.23685261,2021-04-24 09:00:00,"1"
"142",350918.174394508,402707.522245977,2021-04-24 22:00:00,"1"
"143",350709.677540587,402680.250885924,2021-04-25 11:00:00,"1"
"144",350814.214678152,402731.771956087,2021-04-26 00:00:00,"1"
"145",350432.905056692,402272.448029635,2021-04-26 13:00:00,"1"
